,transaction_id,player_id,table_id,buy_in,cash_out,drink_money,tip,time_in,time_out,bonus
68,68,13,1,200,55,0,,2023-09-29 19:00:00,2023-09-29 22:00:00,0.0
69,69,92,1,300,540,0,,2023-09-29 19:00:00,2023-09-29 22:00:00,0.0
70,70,13,24,200,0,0,,2023-10-10 20:30:00,2023-10-10 21:45:00,0.0
71,71,13,25,400,200,0,,2023-10-21 19:00:00,2023-10-21 21:00:00,0.0
72,72,92,25,300,400,0,,2023-10-21 19:00:00,2023-10-21 21:00:00,0.0
73,73,13,1,400,300,0,,2023-10-13 19:00:00,2023-10-13 22:00:00,0.0
74,74,92,1,400,1050,0,,2023-10-13 19:00:00,2023-10-13 22:00:00,0.0
75,75,13,1,200,300,0,,2023-11-03 19:00:00,2023-11-03 22:00:00,0.0
76,76,92,1,300,860,0,,2023-11-03 19:00:00,2023-11-03 22:00:00,0.0
77,77,13,3,400,0,0,,2023-10-25 14:00:00,2023-10-25 17:00:00,0.0
78,78,92,3,300,400,0,,2023-10-25 14:00:00,2023-10-25 17:00:00,0.0
79,79,13,1,200,465,0,,2023-12-01 19:00:00,2023-12-01 21:00:00,0.0
80,80,92,1,300,590,0,,2023-12-01 19:00:00,2023-12-01 21:00:00,0.0
81,81,13,26,400,256,0,,2024-01-15 13:30:00,2024-01-15 17:30:00,0.0
82,82,92,26,700,533,0,,2024-01-15 13:30:00,2024-01-15 17:30:00,0.0
83,83,13,1,200,320,0,,2024-02-04 11:00:00,2024-02-04 13:30:00,0.0
84,84,92,1,300,346,0,,2024-02-04 11:00:00,2024-02-04 13:30:00,0.0
85,85,92,27,100,120,0,,2024-02-06 20:15:00,2024-02-06 20:45:00,0.0
86,86,92,28,820,1222,0,,2024-02-06 20:45:00,2024-02-06 23:00:00,0.0
87,87,13,29,300,284,0,,2024-02-23 12:45:00,2024-02-23 14:45:00,0.0
88,88,92,29,200,169,0,,2024-02-23 12:45:00,2024-02-23 14:45:00,0.0
